N_robots,mean_field_variance,max_field_variance,bound_clarity,expected_spatial_mean_clarity_estimate,spatial_mean_clarity_of_expected_covariance_estimate,spatial_mean_clarity_sample_std,spatial_mean_clarity_standard_error,monte_carlo_trials
1.0,0.8957794484734636,10.546148322892607,0.5274875201359678,0.5218817677941652,0.5209063874775395,0.0005146812062890095,9.396750220282009e-5,30.0
5.0,0.46893200662898077,4.813431949377072,0.6807667036235923,0.6774056015221783,0.6770041773966106,0.0002310516101997127,4.218405961809112e-5,30.0
10.0,0.34535143716319344,3.420081938567257,0.7433002057132365,0.7406756282969619,0.7404477685398455,0.00019135575309387414,3.493662082596795e-5,30.0
15.0,0.2872134842955471,2.798464374538956,0.7768719114586262,0.77462665149471,0.7744752106592453,0.00018151183463647214,3.3139375428181106e-5,30.0
20.0,0.25150284372010173,2.4266333318123587,0.7990393350026217,0.7969964481896679,0.7968811345929969,0.00013676947497497823,2.497057554064463e-5,30.0
21.0,0.24586692531435536,2.368622085676108,0.8026539429543661,0.8006553938457889,0.8005470041145596,0.0001130123011746918,2.0633128876315426e-5,30.0
25.0,0.22666645971476493,2.1723362494880614,0.8152175288403407,0.8133520149801756,0.8132648583802259,9.252370380016964e-5,1.689243989175979e-5,30.0
30.0,0.20808538386277342,1.9843367694262684,0.8277560620778027,0.8260001116971113,0.8259307421421226,8.552586919551089e-5,1.561481593620584e-5,30.0
35.0,0.19349681477837635,1.8380562099768232,0.8378740417381781,0.8361379369686213,0.836077334592362,9.703675057583045e-5,1.7716405732461586e-5,30.0
40.0,0.1816424476286122,1.7200361546406546,0.8462796863863999,0.8446328116658453,0.8445808693734248,9.476935872668666e-5,1.7302438511635116e-5,30.0
45.0,0.17175862187841454,1.6222062552086653,0.8534180857119933,0.8517953811446419,0.8517490094568388,8.818750105785222e-5,1.6100761206465453e-5,30.0
50.0,0.16335110931325028,1.539393990783502,0.8595857192162049,0.8579901361803813,0.8579491293897932,8.036279895718017e-5,1.4672172591033407e-5,30.0
