Ng,dx,N_robots,dt,measurement_std,mean_state_variance,max_state_variance,clarity
4489.0,0.075,1.0,0.2,2.0,29.789685702424126,29.984284154195972,0.40797900834510364
4489.0,0.075,10.0,0.2,2.0,29.049549149537043,29.84430547459527,0.5672784029704407
4489.0,0.075,20.0,0.2,2.0,28.51164956474576,29.691785536820877,0.6172662670806174
4489.0,0.075,30.0,0.2,2.0,28.070616226619467,29.542321119394575,0.646078608489644
4489.0,0.075,40.0,0.2,2.0,27.685035812158045,29.395799696663957,0.6661942369578581
4489.0,0.075,50.0,0.2,2.0,27.33755454247356,29.252114812427696,0.6815663902843552
2601.0,0.1,1.0,0.2,2.0,29.634225798847762,29.963877573007526,0.4064924406188983
2601.0,0.1,10.0,0.2,2.0,28.361867535403494,29.64639000718033,0.5661566862136178
2601.0,0.1,20.0,0.2,2.0,27.459378066794525,29.308795083033992,0.6167551517933256
2601.0,0.1,30.0,0.2,2.0,26.736084841008335,28.9859110307974,0.6461116822729733
2601.0,0.1,40.0,0.2,2.0,26.116857759148406,28.676585849269163,0.6667123123603571
2601.0,0.1,50.0,0.2,2.0,25.569591083183226,28.37979687984954,0.6825208031654061
1681.0,0.125,1.0,0.2,2.0,29.433564589243144,29.93027458753903,0.4061416071536798
1681.0,0.125,10.0,0.2,2.0,27.500644184595487,29.33041442592591,0.5667653462647607
1681.0,0.125,20.0,0.2,2.0,26.179205362483327,28.716318700735677,0.6182588892636628
1681.0,0.125,30.0,0.2,2.0,25.153896378825735,28.149713792567166,0.6483492815401741
1681.0,0.125,40.0,0.2,2.0,24.30049551768433,27.624203630376975,0.6695678733383792
1681.0,0.125,50.0,0.2,2.0,23.56485134460238,27.13459299945494,0.6859061648253247
1156.0,0.15,1.0,0.2,2.0,29.181383255121887,29.878711180625007,0.4069299029913907
1156.0,0.15,10.0,0.2,2.0,26.46624711838439,28.867796922192085,0.5691919561871033
1156.0,0.15,20.0,0.2,2.0,24.701587453516858,27.886868426503508,0.6218668099019539
1156.0,0.15,30.0,0.2,2.0,23.387171877379647,27.023524658062236,0.6528405481286722
1156.0,0.15,40.0,0.2,2.0,22.328832084027916,26.254132676876978,0.6747516522851884
1156.0,0.15,50.0,0.2,2.0,21.441509746729217,25.561473455331708,0.6916480664400754
676.0,0.2,1.0,0.2,2.0,28.59624599121759,29.726085992822874,0.405582696512478
676.0,0.2,10.0,0.2,2.0,24.27335580146646,27.633015830119444,0.5715255354427767
676.0,0.2,20.0,0.2,2.0,21.783512042970553,25.855481826756133,0.6269263424828111
676.0,0.2,30.0,0.2,2.0,20.07854491857094,24.443627526839773,0.6597471783994201
676.0,0.2,40.0,0.2,2.0,18.787641090769213,23.28004461521009,0.6829873999741974
676.0,0.2,50.0,0.2,2.0,17.755734587823525,22.295513015863357,0.7008789912307696
441.0,0.25,1.0,0.2,2.0,27.865778792996526,29.48326042209128,0.4057049725485529
441.0,0.25,10.0,0.2,2.0,21.92764246200239,25.985843175915168,0.5769246708177399
441.0,0.25,20.0,0.2,2.0,18.95458122510615,23.457786012994333,0.6351850671298092
441.0,0.25,30.0,0.2,2.0,17.074184779075036,21.644883943140837,0.6696220485950279
441.0,0.25,40.0,0.2,2.0,15.72185253794921,20.24970104057103,0.6938711088123999
441.0,0.25,50.0,0.2,2.0,14.67994874998514,19.12658946083521,0.7124285246895384
289.0,0.3,1.0,0.2,2.0,26.87292673652691,29.078372021208057,0.4107066734075888
289.0,0.3,10.0,0.2,2.0,19.32004276898105,23.817090521906803,0.5897378792543098
289.0,0.3,20.0,0.2,2.0,16.10265446245042,20.67852562437356,0.6507022019551436
289.0,0.3,30.0,0.2,2.0,14.213118383172453,18.639408061399497,0.6862908948994615
289.0,0.3,40.0,0.2,2.0,12.912160060423675,17.160651248716103,0.7110772398942038
289.0,0.3,50.0,0.2,2.0,11.939022565140428,16.017615899357022,0.7298739976573201
169.0,0.4,1.0,0.2,2.0,24.89206065227303,28.041112935952352,0.4134136805272341
169.0,0.4,10.0,0.2,2.0,15.451380890534523,20.017508507800883,0.6053861830745432
169.0,0.4,20.0,0.2,2.0,12.30245061971453,16.475442361360233,0.669750361378495
169.0,0.4,30.0,0.2,2.0,10.607780316611395,14.432449842738805,0.7064911915318416
169.0,0.4,40.0,0.2,2.0,9.494857031653757,13.044248705677466,0.7316696319647951
169.0,0.4,50.0,0.2,2.0,8.687607045690525,12.015767150384265,0.7505311211764523
121.0,0.5,1.0,0.2,2.0,23.08762374098724,26.85686583344589,0.41300866749708876
121.0,0.5,10.0,0.2,2.0,12.892646418417764,17.163294599885212,0.6147416477294899
121.0,0.5,20.0,0.2,2.0,10.003533520667075,13.682948983346884,0.6809623256519299
121.0,0.5,30.0,0.2,2.0,8.51904063632988,11.799321437646599,0.7181797023886981
121.0,0.5,40.0,0.2,2.0,7.567027366818089,10.560537067520597,0.7434300343479577
121.0,0.5,50.0,0.2,2.0,6.886849353213409,9.661567760525434,0.7622089363291267
